Sample,StartDepth,End Depth,Depth midpoint,Particle Weight,C/N Weight,Event notes,Epoch,Grain size,,,,C/N ratio
,,,,,,,,Mean,Sorting,Skewness,Kurtosis,
W1M13/1,71,73,72,0.301,1.06, , ,13.7129594,2.63064643,0.00879078,0.93004966,7.20
W1M13/2,83,84,83.5,0.329,1.088, , ,13.4287258,2.59626849,-0.0150141,0.93383654,8.3
W1M13/3,93,96,94.5,0.379,1.055, , ,19.0455483,2.51975623,-0.1204005,0.97251924,12.8
W1M13/4,96,98,97,0.334,1.073, , ,18.5542526,2.37637816,-0.1292274,0.97566095,12.6
W1M13/5,101,103,102,0.373,1.075, , ,19.2444812,2.47821351,-0.1242429,0.98165203,9.6
W1M13/6,105,107,106,0.306,1.019, , ,19.1656125,2.11282203,-0.083041,1.0022646,10.5
W1M13/7,113,114,113.5,0.351,1.029, , ,33.6806406,2.26162335,-0.1622677,1.03313218,12.2
W1M13/8,120,122,121,0.317,1.073, , ,15.5425137,2.5053076,-0.0479267,0.95276628,10.2
W1M13/9,130,133,131.5,0.32,1.087, , ,28.4798309,2.21135228,-0.1420642,1.04231617,13.7
W1M13/10,145,147,146,0.352,1.05, , ,20.4082773,2.54691294,-0.1410915,0.98105504,9.7
W1M13/11,157,159,158,0.309,1.046, , ,24.0392014,2.25937791,-0.1322608,1.02506102,11
W1M13/12,161,164,162.5,0.38,1.053, , ,21.5553482,2.49987468,-0.1239506,1.00190968,8.4
W1M13/13,170,172,171,0.325,1.038, , ,20.2350365,2.55136825,-0.1164881,0.97235347,10
W1M13/14,176,178,177,0.356,1.016, , ,26.9729854,2.37945752,-0.166459,1.03288806,3.4
W1M13/15,182,184,183,0.311,1.011, , ,20.5781452,2.51742123,-0.1321796,0.98472381,13.3
W1M13/16,190,192,191,0.358,1.098, , ,26.0449973,2.43938645,-0.1700885,1.01599598,11.8
W1M13/17,199,202,200.5,0.311,1.044, , ,47.2427042,2.16778282,-0.2237851,1.13311502, 
W1M13/18,205,208,206.5,0.33,1.02, , ,29.9394312,2.28629648,-0.1285629,1.01202936,15.8
W1M13/19,214,217,215.5,0.308,1.074, , ,24.5775513,2.271915,-0.1197941,1.012639,11.4
W1M13/20,220,222,221,0.323,1.044, , ,27.2580921,2.22003657,-0.1341982,1.02435255,11.7
W1M13/21,226,228,227,0.344,1.029, , ,20.1849315,2.41972513,-0.1243148,1.00128382,11.1
W1M13/22,231,233,232,0.362,1.055, , ,23.8660277,2.65487851,-0.1442048,0.9623494,11
W1M13/23,238,241,239.5,0.318,1.03, , ,20.1376473,2.56104341,-0.1297567,0.9724202,9.9
W1M13/24,245,247,246,0.357,1.092, , ,20.5588408,2.57508214,-0.1254736,0.97595418,10.8
W1M13/25,251,253,252,0.359,1.079, , ,20.226091,2.53849242,-0.1350368,0.97359818,12.9
W1M13/26,257,259,258,0.312,1.03, , ,21.9918414,2.50421334,-0.1394605,0.99381951,11.1
W1M13/27,265,267,266,0.35,1.042, , ,21.7899936,2.48278309,-0.14316,0.99584536, 
W1M13/28,275,278,276.5,0.314,1.046, , ,21.1083949,2.50361984,-0.1309733,0.98984404,11.1
W1M13/29,281,283,282,0.376,1.025, , ,20.6842203,2.51170728,-0.1262528,0.99129603,10.5
W1M13/30,285,287,286,0.344,1.02, , ,20.6620817,2.31796081,-0.1304516,0.99875287,11.8
W1M13/31,292,294,293,0.329,1.005, , ,27.3904188,2.36496624,-0.1510419,1.02397877,11.7
W1M13/32,298,301,299.5,0.324,1.04, , ,22.3098158,2.32148132,-0.157902,1.01682527,10.9
W1M13/33,305,307,306,0.319,1.095, , ,26.3385608,2.27386411,-0.1550877,1.01929974,14
W1M13/34,313,316,314.5,0.335,1.03, , ,24.4939901,2.34753327,-0.1666686,1.0075413,11.3
W1M13/35,320,323,321.5,0.368,1.042, , ,23.9996833,2.36079048,-0.1688855,1.00302551,10.6
W1M13/36,329,331,330,0.36,1.033, , ,29.7211225,2.24017528,-0.1615019,1.02105371,12.4
W1M13/37,333,335,334,0.379,1.01, , ,30.4539664,2.25322747,-0.1468575,1.02576606,11.1
W1M13/38,338,341,339.5,0.391,1.039, , ,46.6974446,2.10700677,-0.2235573,1.14671793,13.5
W1M13/39,343,345,344,0.362,1.051, , ,44.1002609,2.02373644,-0.2022121,1.14857402,
W1M13/40,350,353,351.5,0.322,1.071, , ,47.5534319,2.03147489,-0.2131878,1.15165176,18.2
W1M13/41,353,355,354,0.384,1.092, , ,49.1076282,2.0628692,-0.2027683,1.15164026,16.8
W1M13/42,359,362,360.5,0.385,1.085, , ,55.3887967,2.10357172,-0.2403107,1.18566122,14.5
W1M13/43,365,367,366,0.307,1.051, , ,55.9002269,2.02560268,-0.221818,1.16961966,12.8
W1M13/44,369,372,370.5,0.322,1.081, , ,41.5690862,2.24171535,-0.2165292,1.08040088,27.3
W1M13/45,375,378,376.5,0.322,1.038, , ,38.7045024,2.29179478,-0.2035607,1.04424509,15.2
W1M13/46,380,383,381.5,0.324,1.009, , ,31.5117688,2.23603168,-0.1575514,1.04397744,10.8
W1M13/47,385,388,386.5,0.334,1.028, , ,18.3799944,2.66911389,-0.1066395,0.9398503,10.3
W1M13/48,390,393,391.5,0.324,1.047, , ,23.5172525,2.50350148,-0.1707061,1.01217356,8.3
W1M13/49,396,399,397.5,0.338,1.016, , ,20.0794586,2.80236956,-0.1256685,0.908479,10
W1M13/50,402,405,403.5,0.364,1.034, , ,19.6331347,2.66748906,-0.123878,0.93118405,11.3
W1M13/51,410,412,411,0.307,1.042, , ,37.5401613,2.25009086,-0.219928,1.11894589,12.2
W1M13/52,413,415,414,0.309,1.019, , ,21.4853343,2.62756675,-0.171309,0.96849954,9.8
W1M13/53,417,420,418.5,0.318,1.063, , ,22.9311599,2.73061922,-0.1666727,0.94723468,10.7
W1M13/54,422,424,423,0.323,1.003, , ,31.3658794,2.33241682,-0.180694,1.040404,11.7
W1M13/55,428,430,429,0.34,1.027, , ,22.9472166,2.64541591,-0.1584817,0.97673649,11.9
