Core,S,E,X,Y
WAN1M10 MARCH26,44° 39.751' ,169° 01.274',1284574.394,5046832.992
WAN1M11 MARCH26,44° 39.722' ,169° 01.132',1284384.14,5046877.506
WAN1M12 MARCH26,44° 39.754' ,169° 01.391',1284729.26,5046834.994
WAN1M13 MARCH26,44° 39.724' ,169° 01.517',1284893.033,5046898.67
WAN1M14 MARCH26,44° 39.707' ,169° 01.614',1285019.665,5046936.403
WAN1M15 MARCH26,44° 39.695',169° 01.176',1284439.834,5046930.338
WAN1M16 MARCH26,44° 39.869' ,169° 01.179',1284459.555,5046608.388
WAN1M17 MARCH26,44° 39.547' ,168° 59.705',1282482.658,5047108.98
WAN1M18 MARCH26,44° 39.577' ,168° 59.626',1282381.002,5047048.3
WAN 1M19 MARCH26,44° 38.790' ,169° 00.711',1283743.306,5048575.77
WAN 1M20 MARCH26,44° 38.841' ,169° 00.653',1283671.276,5048477.592
